gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,direct_association.diseaseId,direct_association.score,direct_association.disease,ensembl_ID
ASS1,1,LUNG,"","","",Orphanet_187,0.805716324283616,"Citrullinemia: Citrullinemia is an autosomal recessively inherited disorder of urea cycle metabolism and ammonia detoxification characterized by elevated concentrations of serum citrulline and ammonia. The disease presents with a large range of manifestations including neonatal hyperammonemic encephalopathy with lethargy, seizures and coma; hepatic dysfunction in all age groups; episodes of hyperammonemia and neuropsychiatric symptoms in children or adults, or, can be asymptomatic in some cases (detected in newborn screening programs). Citrullinemia is divided into two main groups that are encoded by different genes: citrullinemia type I (comprised of acute neonatal citrullinemia type I and adult-onset citrullinemia type I) and citrin deficiency (comprised of adult-onset citrullinemia type II and neonatal intrahepatic cholestasis due to citrin deficiency).",ENSG00000130707
SERPING1,1,BAT,"","","",Orphanet_100051,0.805684521350266,"Hereditary angioedema type 2: Hereditary angioedema type 2 (HAE 2) is a form of hereditary angioedema characterized by acute edema in subcutaneous tissues, viscera and/or the upper airway.",ENSG00000149131
KRT14,1,COLON,"","","",Orphanet_79400,0.80527767721917,"Localized epidermolysis bullosa simplex: A basal subtype of epidermolysis bullosa simplex (EBS). The disease is characterized by blisters occurring mainly on the palms and soles, exacerbated by warm weather.",ENSG00000186847
ACSF3,1,BAT,"","","",Orphanet_289504,0.805264738312128,"Combined malonic and methylmalonic acidemia: Combined malonic and methylmalonic acidemia is a rare inborn error of metabolism characterized by elevation of malonic acid (MA) and methylmalonic acid (MMA) in body fluids, with higher levels of MMA than MA. CMAMMA presents in childhood with metabolic acidosis, developmental delay, dystonia and failure to thrive or in adulthood with seizures, memory loss and cognitive decline.",ENSG00000176715
ANK1,1,BLOOD,"","","",Orphanet_822,0.804723261442616,"Hereditary spherocytosis: Hereditary spherocytosis is a congenital hemolytic anemia with a wide clinical spectrum (from symptom-free carriers to severe hemolysis) characterized by anemia, variable jaundice, splenomegaly and cholelithiasis.",ENSG00000029534
TINF2,1,BLOOD,"","","",Orphanet_1775,0.804128919663106,"Dyskeratosis congenita: Dyskeratosis congenita (DC) is a rare ectodermal dysplasia that often presents with the classic triad of nail dysplasia, skin pigmentary changes, and oral leukoplakia associated with a high risk of bone marrow failure (BMF) and cancer.",ENSG00000092330
SLC25A38,1,BLOOD,"","","",Orphanet_260305,0.803777483404049,"Autosomal recessive sideroblastic anemia: Congenital autosomal recessive sideroblastic anemia (ARSA) is a non-syndromic, microcytic/hypochromic sideroblastic anemia, present from early infancy and characterized by severe microcytic anemia, which is not pyridoxine responsive, and increased serum ferritin.",ENSG00000144659
SGCB,1,LUNG,"","","",Orphanet_119,0.803714502409722,"Autosomal recessive limb-girdle muscular dystrophy type 2E: Autosomal recessive limb girdle muscular dystrophy type 2E (LGMD2E) is a subtype of autosomal recessive limb girdle muscular dystrophy characterized by a childhood to adolescent onset of progressive pelvic- and shoulder-girdle muscle weakness, particularly affecting the pelvic girdle (adductors and flexors of hip). Usually the knees are the earliest and most affected muscles. In advanced stages, involvement of the shoulder girdle (resulting in scapular winging) and the distal muscle groups are observed. Calf hypertrophy, cardiomyopathy, respiratory impairment, tendon contractures, scoliosis, and exercise-induced myoglobinuria may be observed.",ENSG00000163069
FLT3,1,SMLINT,"","","",EFO_0000222,0.803695315987794,"acute myeloid leukemia: Acute myeloid leukemia (AML) is a group of neoplasms arising from precursor cells committed to the myeloid cell-line differentiation. All of them are characterized by clonal expansion of myeloid blasts. AML manifests by fever, pallor, anemia, hemorrhages and recurrent infections.",ENSG00000122025
LRPPRC,1,BAT,"","","",Orphanet_70472,0.803250615619876,"Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type: Saguenay-Lac-St. Jean (SLSJ) type congenital lactic acidosis, a French Canadian form of Leigh syndrome (see this term), is a mitochondrial disease characterized by chronic metabolic acidosis, hypotonia, facial dysmorphism and delayed development.",ENSG00000138095
RYR1,1,SKM-VL,"","","",Orphanet_423,0.803043062070106,"Malignant hyperthermia: Malignant hyperthermia (MH) is a pharmacogenetic disorder of skeletal muscle that presents as a hypermetabolic response to potent volatile anesthetic gases such as halothane, sevoflurane, desflurane and the depolarizing muscle relaxant succinylcholine, and rarely, to stresses such as vigorous exercise and heat.",ENSG00000196218
ABCA3,1,ADRNL,"","","",Orphanet_217563,0.801996221775787,Neonatal acute respiratory distress with surfactant metabolism deficiency: NA,ENSG00000167972
HCCS,1,HEART,"","","",Orphanet_2556,0.80191391166623,"Microphthalmia with linear skin defects syndrome: A genetic condition that affects the eyes and skin. It is mainly found in females and is characterized by small or poorly developed eyes (microphthalmia) and characteristic linear skin markings on the head and neck. The signs and symptoms of this condition may include abnormalities of the brain, heart, and genitourinary system. Other symptoms may include short stature, developmental delay, and finger and toenails that do not grow normally (nail dystrophy). MLS syndrome is typically caused by either a deletion of certain genetic material on the p (short) arm of the X chromosome or by a mutation in the HCCS gene. In some cases, it may be caused by mutations in the COX7B and NDUFB11 genes, (also located on the X chromosome). According to the mutated gene, the disease may be classified in three subtypes. This condition is inherited in an X-linked manner and is thought to result in serious early developmental concerns in males, leading to almost no males with this condition surviving to delivery.Although there is no specific treatment or cure for MLS syndrome, there may be ways to manage the symptoms. A team of doctors is often needed to figure out the treatment options based on each person's symptoms.",ENSG00000004961
PCYT1A,1,HEART,"","","",Orphanet_85167,0.801647579797493,"Spondylometaphyseal dysplasia - cone-rod dystrophy: Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome is characterised by the association of spondylometaphyseal dysplasia (marked by platyspondyly, shortening of the tubular bones and progressive metaphyseal irregularity and cupping), with postnatal growth retardation and progressive visual impairment due to cone-rod dystrophy. So far, it has been described in eight individuals. Transmission appears to be autosomal recessive.",ENSG00000161217
KIF21A,1,LIVER,"","","",Orphanet_45358,0.801537680538929,Congenital fibrosis of extraocular muscles: NA,ENSG00000139116
PIGV,1,SPLEEN,"","","",Orphanet_247262,0.801333325523015,Hyperphosphatasia-intellectual disability syndrome: NA,ENSG00000060642
PPP1CB,1,BLOOD,"","","",Orphanet_2701,0.800520733154588,"Noonan syndrome-like disorder with loose anagen hair: Noonan-like syndrome with loose anagen hair (NS/LAH) is a Noonan-related syndrome, characterized by facial anomalies suggestive of Noonan syndrome ; a distinctive hair anomaly described as loose anagen hair syndrome ; frequent congenital heart defects; distinctive skin features with darkly pigmented skin, keratosis pilaris, eczema or occasional neonatal ichtyosis ; and short stature, often associated with a GH deficiency and psychomotor delays.",ENSG00000213639
AGL,1,HEART,"","","",Orphanet_366,0.800517211840972,"Glycogen storage disease due to glycogen debranching enzyme deficiency: An autosomal recessive metabolic disorder due to deficient expression of amylo-1,6-glucosidase (one part of the glycogen debranching enzyme system). The clinical course of the disease is similar to that of glycogen storage disease type I, but milder. Massive hepatomegaly, which is present in young children, diminishes and occasionally disappears with age. Levels of glycogen with short outer branches are elevated in muscle, liver, and erythrocytes. Six subgroups have been identified, with subgroups Type IIIa and Type IIIb being the most prevalent.",ENSG00000162688
CEP290,1,SKM-VL,"","","",Orphanet_3156,0.800435614769377,"Senior-Loken syndrome: Senior-Loken syndrome (SLSN) is a very rare autosomal recessive oculo-renal disease characterized by the association of nephronophthisis (NPHP), a chronic kidney disease, with retinal dystrophy.",ENSG00000198707
SMOC1,1,ADRNL,"","","",Orphanet_1106,0.80014211565312,"Microphthalmia with limb anomalies: Microphthalmia with limb anomalies, also known as ophthalmo-acromelic syndrome (OAS), is a rare developmental disorder characterized by bilateral microphthalmia or anophthalmia, synostosis, syndactyly, oligodactyly and/or polydactyly.",ENSG00000198732
