gene,n_tissue,tissue_1,tissue_2,tissue_3,tissue_4,tissue_5,tissue_6,indirect_association.diseaseId,indirect_association.score,direct_association.diseaseId,direct_association.score,indirect_association.disease,direct_association.disease,ensembl_ID
HSPBP1,1,COLON,"","","","","",EFO_0001444,0.340809661166702,EFO_0004584,0.334857135242091,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,mean platelet volume: A measurement of mean platelet volume is a machine-calculated measurement of the average size of platelets found in blood,ENSG00000133265
UBE2O,1,BLOOD,"","","","","",EFO_0001444,0.340372877521647,EFO_0010700,0.303482592546207,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"reticulocyte measurement: A quantification of some aspect of reticulocyte function, quantity, or composition.",ENSG00000175931
IMPACT,1,COLON,"","","","","",EFO_0001444,0.339922744228127,EFO_0004340,0.317340749285826,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"body mass index: An indicator of body density as determined by the relationship of BODY WEIGHT to BODY HEIGHT. BMI=weight (kg)/height squared (m2). BMI correlates with body fat (ADIPOSE TISSUE). Their relationship varies with age and gender. For adults, BMI falls into these categories: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese). (National Center for Health Statistics, Centers for Disease Control and Prevention)",ENSG00000154059
CEP131,1,HEART,"","","","","",EFO_0001444,0.339331270190363,EFO_0005193,0.30036819604091,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,serum IgG glycosylation measurement: quantification of N-linked IgG glycans in a serum sample,ENSG00000141577
STRADB,1,BLOOD,"","","","","",EFO_0000616,0.339063715417466,EFO_0004528,0.280153936457597,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",mean corpuscular hemoglobin concentration: The mean corpuscular hemoglobin concentration is a measure of the concentration of hemoglobin in a given volume of packed red blood cell,ENSG00000082146
SYNJ2BP,1,HEART,"","","","","",EFO_0001444,0.339042329917893,EFO_0004611,0.326970190382267,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,low density lipoprotein cholesterol measurement: The measurement of LDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000213463
RNF157,1,ADRNL,"","","","","",EFO_0001444,0.338040843516903,EFO_0007788,0.29447330395233,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,BMI-adjusted waist-hip ratio: waist-hip ratio that has been adjusted by subjects’ body mass index,ENSG00000141576
SUPT20H,1,SPLEEN,"","","","","",EFO_0001444,0.337416242018384,EFO_0007984,0.337416242018384,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,platelet component distribution width: Measure of variation in platelet size.,ENSG00000102710
TOB1,1,SKM-GN,"","","","","",EFO_0000651,0.337379284631117,EFO_1000786,0.302387951797269,"phenotype: The observable form taken by some character (or group of characters) in an individual or an organism, excluding pathology and disease.  The detectable outward manifestations of a specific genotype.","osteoarthritis, hip: Osteoarthritis of the hip is also very common and can affect either one or both hips.
You’re most likely to feel pain deep at the front of your groin, but also at the side and front of your thigh, in your buttock or down to your knee (this is called radiated pain).
If you have severe hip osteoarthritis, you may find your affected leg seems a little shorter than the other because of the bone on either side of your joint being crunched up.",ENSG00000141232
MMP11,1,HEART,"","","","","",MONDO_0023370,0.337296384351825,EFO_0000571,0.246528203303422,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,"lung adenocarcinoma: A carcinoma that arises from the lung and is characterized by the presence of malignant glandular epithelial cells. There is a male predilection with a male to female ratio of 2:1. Usually lung adenocarcinoma is asymptomatic and is identified through screening studies or as an incidental radiologic finding. If clinical symptoms are present they include shortness of breath, cough, hemoptysis, chest pain, and fever. Tobacco smoke is a known risk factor.",ENSG00000099953
RAPGEF3,1,ADRNL,"","","","","",EFO_0001444,0.337266432603395,EFO_0007984,0.239228082145997,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,platelet component distribution width: Measure of variation in platelet size.,ENSG00000079337
SLC38A5,1,BLOOD,"","","","","",EFO_0001444,0.337248790885138,EFO_0004305,0.236896711646146,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,erythrocyte count: The number of red blood cells per unit volume in a sample of venous blood.,ENSG00000017483
SCLY,1,BLOOD,"","","","","",EFO_0001444,0.337171749508426,EFO_0004747,0.261764994074698,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000132330
HM13,1,BLOOD,"","","","","",EFO_0001444,0.337114905095607,EFO_0006336,0.299291912872043,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,diastolic blood pressure: The blood pressure after the contraction of the heart while the chambers of the heart refill with blood.,ENSG00000101294
HSD17B11,1,ADRNL,"","","","","",EFO_0001444,0.336760909580844,EFO_0004995,0.254506479261623,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,lean body mass: The weight of all organs and tissue in an individual less the weight of the individual's body fat.,ENSG00000198189
RARRES1,1,LIVER,"","","","","",EFO_0001444,0.336687893122981,EFO_0006335,0.318189934896714,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,systolic blood pressure: The blood pressure during the contraction of the left ventricle of the heart.,ENSG00000118849
DHX9,1,ADRNL,"","","","","",MONDO_0023370,0.336649413742346,MONDO_0002691,0.278833539723258,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,"liver cancer: An epithelial or non-epithelial malignant neoplasm that arises from the liver. Representative examples include hepatocellular carcinoma, intrahepatic cholangiocarcinoma, lymphoma, and sarcoma.",ENSG00000135829
EIF4A2,1,HEART,"","","","","",EFO_0000616,0.336576810320487,HP_0012758,0.258705898279291,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","Neurodevelopmental delay: Neurodevelopmental delay (NDD) refers to delays in the maturation of the brain and central nervous system; infants and young children with NDD may experience delays in the development of one or more skills including gross motor abilities, fine-motor coordination, language abilities and ability to solve increasingly complex problems.",ENSG00000156976
XYLB,1,ADRNL,"","","","","",EFO_0001444,0.336514980518714,EFO_0004747,0.279485877085275,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000093217
PCNP,1,BLOOD,"","","","","",EFO_0001444,0.336198048546481,EFO_0004627,0.255017808887881,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"IGF-1 measurement: Is the quantification of Insulin-like growth factor 1 (IGF-1), also called somatomedin C. IGF-1 is a hormone similar in molecular structure to insulin. It plays an important role in childhood growth and continues to have anabolic effects in adults. Levels of IGF-1 are known to increase in some cancers.",ENSG00000081154
PMEPA1,1,SKM-VL,"","","","","",EFO_0001444,0.335974605286938,EFO_0004312,0.26691992453484,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,vital capacity: The volume of air that is exhaled by a maximal expiration following a maximal inspiration.,ENSG00000124225
ARC,1,KIDNEY,"","","","","",EFO_0001444,0.335891020148779,EFO_0010149,0.290974181300841,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,pepsinogen I/II ratio: Quantification of the ratio of pepsinogen I to pepsinogen II in a sample,ENSG00000198576
SEZ6,1,WAT-SC,"","","","","",EFO_0001444,0.335873914049779,EFO_0005091,0.302618644046665,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,monocyte count: quantification of monocytes in the blood,ENSG00000063015
KMT5A,1,BLOOD,"","","","","",MONDO_0045024,0.335273853415027,EFO_0000304,0.272881236822025,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000183955
EFNA1,1,LUNG,"","","","","",EFO_0001444,0.335056383182888,EFO_0004327,0.313076861119602,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"electrocardiography: Recording of the moment-to-moment electromotive forces of theÂ HEARTÂ as projected onto various sites on the body's surface, delineated as a scalar function of time. The recording is monitored by a tracing on slow moving chart paper or by observing it on a cardioscope, which is aÂ CATHODE RAY TUBE DISPLAY.",ENSG00000169242
STRBP,1,SKM-VL,"","","","","",EFO_0001444,0.334946308778321,EFO_0004339,0.270456797023089,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000165209
ARL2,1,COLON,"","","","","",EFO_0000618,0.334789968369311,Orphanet_263347,0.333545818852943,"nervous system disease: A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","MRCS syndrome: MRCS syndrome is a rare, genetic retinal dystrophy disorder characterized by bilateral microcornea, rod-cone dystrophy, cataracts and posterior staphyloma, in the absence of other systemic features. Night blindness is typically the presenting manifestation and nystagmus, strabismus, astigmatism and angle closure glaucoma may be associated findings. Progressive visual acuity deterioration, due to pulverulent-like cataracts, results in poor vision ranging from no light perception to 20/400.",ENSG00000213465
SUCLG2,1,BAT,"","","","","",EFO_0001444,0.334341640988766,EFO_0004339,0.295009861659665,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000172340
CBR1,1,SKM-VL,"","","","","",EFO_0001444,0.334199303365014,EFO_0004628,0.28473795675996,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,insulin like growth factor measurement: Is a quantification of any of the insulin like growth factors,ENSG00000159228
FAM210B,1,BLOOD,"","","","","",EFO_0001444,0.333542693580152,EFO_0004339,0.263438343070955,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000124098
FZR1,1,BLOOD,"","","","","",MONDO_0045024,0.333303815889136,MONDO_0021637,0.27163167655206,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","low grade glioma: A grade I or grade II glioma arising from the central nervous system. This category includes pilocytic astrocytoma, diffuse astrocytoma, subependymal giant cell astrocytoma, ependymoma, oligodendroglioma, oligoastrocytoma, and angiocentric glioma.",ENSG00000105325
CFAP36,1,BLOOD,"","","","","",EFO_0001444,0.332771446426279,EFO_0006335,0.294559487368473,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,systolic blood pressure: The blood pressure during the contraction of the left ventricle of the heart.,ENSG00000163001
HID1,1,BAT,"","","","","",EFO_0000508,0.332621869216232,EFO_0000508,0.332621869216232,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.",ENSG00000167861
ACP2,1,ADRNL,"","","","","",EFO_0001444,0.332475712991472,EFO_0004612,0.303294873550601,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,high density lipoprotein cholesterol measurement: The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000134575
DENND6B,1,SKM-GN,"","","","","",EFO_0001444,0.331316837341968,EFO_0004337,0.252982094885563,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,intelligence: The ability to learn and to deal with new situations and to deal effectively with tasks involving abstractions.,ENSG00000205593
SGTA,1,BLOOD,"","","","","",EFO_0001444,0.331031277258218,EFO_0003923,0.245506531528306,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"bone density: The amount of mineral per square centimeter of BONE. This is the definition used in clinical practice. Actual bone density would be expressed in grams per milliliter. It is most frequently measured by X-RAY ABSORPTIOMETRY or TOMOGRAPHY, X RAY COMPUTED. Bone density is an important predictor for OSTEOPOROSIS.",ENSG00000104969
C3orf18,1,WAT-SC,"","","","","",EFO_0001444,0.330841348754441,EFO_0006336,0.296238140627431,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,diastolic blood pressure: The blood pressure after the contraction of the heart while the chambers of the heart refill with blood.,ENSG00000088543
SYTL5,1,COLON,"","","","","",EFO_0000651,0.330512505762542,HP_0000023,0.254554171345064,"phenotype: The observable form taken by some character (or group of characters) in an individual or an organism, excluding pathology and disease.  The detectable outward manifestations of a specific genotype.",Inguinal hernia: Protrusion of the contents of the abdominal cavity through the inguinal canal.,ENSG00000147041
AGR2,1,COLON,"","","","","",EFO_0001444,0.330389471425111,EFO_0004747,0.307096572715862,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000106541
ZFYVE16,1,COLON,"","","","","",EFO_0000508,0.330330101747584,Orphanet_46724,0.266097495372985,"genetic disorder: Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders.","Cerebral arteriovenous malformation: Cerebral arteriovenous malformation (AVM) is a congenital malformative communication between the veins and the arteries in the brain in the form of a nidus, an anatomical structure composed of dilated and tangled supplying arterioles and drainage veins with no intervening capillary bed, that can be asymptomatic or cause, depending on the location and the size of the AVM, headaches of varying severity, generalized or focal seizures, focalneurological defects (weakness, numbness, speech difficulties, vision loss) or potentially fatal intracranial hemorrhage in case the AVM ruptures.",ENSG00000039319
ATP1B2,1,SKM-VL,"","","","","",EFO_0001444,0.330149145086524,EFO_0004309,0.281885012966042,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,platelet count: The number of PLATELETS per unit volume in a sample of venous BLOOD.,ENSG00000129244
BAZ2A,1,SPLEEN,"","","","","",EFO_0001444,0.330139020814524,EFO_0004309,0.307464849458909,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,platelet count: The number of PLATELETS per unit volume in a sample of venous BLOOD.,ENSG00000076108
GSTA4,1,BLOOD,"","","","","",EFO_0001444,0.330007581474663,EFO_0005671,0.301137419353969,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"smoking behaviour measurement: the quantification of some smoking or smoking-related behaviour, usually self-reported via a questionnaire",ENSG00000170899
STK38,1,SPLEEN,"","","","","",EFO_0001444,0.329725864465618,EFO_0004584,0.325720169823004,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,mean platelet volume: A measurement of mean platelet volume is a machine-calculated measurement of the average size of platelets found in blood,ENSG00000112079
TRIB3,1,BAT,"","","","","",EFO_0000616,0.329601670517915,MONDO_0024622,0.294127837551183,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","thyroid gland adenocarcinoma: An adenocarcinoma arising from the follicular cells of the thyroid gland. According to the degree of differentiation, it is classified either as differentiated carcinoma (extensive evidence of follicular cell differentiation), or poorly differentiated carcinoma (limited evidence of follicular cell differentiation).",ENSG00000101255
CASP6,1,HEART,"","","","","",EFO_0000616,0.329390252941807,EFO_0000304,0.271807845162874,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000138794
ACOT7,1,LUNG,"","","","","",EFO_0001444,0.329365159002906,EFO_0005059,0.267138691315745,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"acylcarnitine measurement: The quantification of some acylcarnitine, typically obtained from the blood of an individual with the intention of using the measurement in some diagnostic process. The test is used in the diagnosis of iherited fatty acid metabolic disorders. ",ENSG00000097021
CYP2A7,1,LIVER,"","","","","",MONDO_0000651,0.32935168998349,EFO_0006525,0.299828583468693,"thoracic disorder: A non-neoplastic or neoplastic disorder that affects the thorax and/or the organs of the thoracic cavity. Representative examples include pleural infection, mediastinitis, thymoma, mediastinal lymphoma, and pleural mesothelioma.",cigarettes per day measurement: the quantification of the number of cigarettes that a subject smoked on average per day,ENSG00000198077
SULT1A1,1,SPLEEN,"","","","","",EFO_0001444,0.32931416426147,EFO_0007041,0.246024337585295,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,obese body mass index status: quantification of weight/height relationships above a certain threshold that classes an individual as overweight. This threshold may vary based on an individual's ethnicity but is commonly considered to correspond in European populations to a BMI > 30.,ENSG00000196502
GSTM2,1,LUNG,"","","","","",EFO_0001444,0.328959473635673,EFO_0007858,0.23633075090352,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"eye morphology measurement: quantification of some aspect of eye morphology, such as the width of the eye socket",ENSG00000213366
PKN2,1,BLOOD,"","","","","",EFO_0001444,0.328931188412796,EFO_0004339,0.284393289778028,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000065243
EIF5B,1,COLON,"","","","","",EFO_0001444,0.328820053053485,EFO_0007986,0.270934901303759,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,reticulocyte count: The number of reticulocytes per unit volume of blood. Reticulocytes are immature red blood cells and typically compose aoubt 1% of red blood cells in the human body.,ENSG00000158417
PARVA,1,ADRNL,"","","","","",EFO_0001444,0.328585112417743,EFO_0007825,0.317971683953971,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,balding measurement: quantification of the amount of balding in an individual,ENSG00000197702
ITGA5,1,HEART,"","","","","",MONDO_0023370,0.327913260093663,EFO_0000519,0.265690371690406,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,"glioblastoma multiforme: The most malignant astrocytic tumor (WHO grade IV). It is composed of poorly differentiated neoplastic astrocytes and it is characterized by the presence of cellular polymorphism, nuclear atypia, brisk mitotic activity, vascular thrombosis, microvascular proliferation and necrosis. It typically affects adults and is preferentially located in the cerebral hemispheres. It may develop from diffuse astrocytoma WHO grade II or anaplastic astrocytoma (secondary glioblastoma, IDH-mutant), but more frequently, it manifests after a short clinical history de novo, without evidence of a less malignant precursor lesion (primary glioblastoma, IDH- wildtype). (Adapted from WHO)",ENSG00000161638
WDR91,1,SMLINT,"","","","","",EFO_0001444,0.327789345993623,EFO_0004736,0.287348122947578,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"aspartate aminotransferase measurement: Is a quantification of aspartate aminotransferase, and is commonly used as a marker for liver function.",ENSG00000105875
EIF3H,1,BLOOD,"","","","","",MONDO_0045024,0.327770809118142,EFO_0005842,0.293961221861045,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.","colorectal cancer: A primary or metastatic malignant neoplasm that affects the colon or rectum. Representative examples include carcinoma, lymphoma, and sarcoma.",ENSG00000147677
DACT2,1,SKM-VL,"","","","","",EFO_0001444,0.327634253118463,EFO_0004747,0.276212985830408,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000164488
HIF3A,1,WAT-SC,"","","","","",EFO_0001444,0.327520643315016,EFO_0008317,0.296745523853451,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,very low density lipoprotein cholesterol measurement: quantification of the amount of very low density lipoprotein cholesterol in a sample,ENSG00000124440
AKAP1,1,HEART,"","","","","",EFO_0010285,0.32751922159804,EFO_0003924,0.288169128640868,integumentary system disease: A disease involving the integumental system.,hair color: Color of hair or fur.,ENSG00000121057
USP5,1,COLON,"","","","","",EFO_0000616,0.327162955990234,EFO_0000304,0.225775099871595,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000111667
USP13,1,HEART,"","","","","",EFO_0001444,0.326858030906823,EFO_0010750,0.308379038172588,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"PHF-tau measurement: Quantification of amount of tau, in the form of paired helical filaments, in a sample",ENSG00000058056
SAMSN1,1,LUNG,"","","","","",EFO_0001444,0.326653192944145,EFO_0004747,0.267122478210242,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"protein measurement: This is a general class for any measurement of a protein. Do not annotate to this class, request a more specific child term.",ENSG00000155307
CCDC88B,1,LUNG,"","","","","",EFO_0010282,0.326061328300676,Orphanet_797,0.242989386518426,"gastrointestinal disease: A disease that occurs in the gastrointestinal system, excluding the hepatobiliary system.","Sarcoidosis: Disease involving abnormal collections of inflammatory cells that form lumps known as granulomas. The disease usually begins in the lungs, skin, or lymph nodes.",ENSG00000168071
ZNF420,1,SPLEEN,"","","","","",EFO_0000616,0.326003267305875,EFO_0004339,0.276356433202733,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.",body height: The distance from the sole to the crown of the head with body standing on a flat surface and fully extended.,ENSG00000197050
RRAD,1,SKM-GN,"","","","","",EFO_0001444,0.325839193414113,EFO_0004326,0.324088822157897,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"heart rate: The number of times the HEART VENTRICLES contract per unit of time, usually per minute.",ENSG00000166592
ZNF384,1,SPLEEN,"","","","","",EFO_0000616,0.325670260360077,EFO_0000182,0.203823289858613,"neoplasm: A benign or malignant tissue growth resulting from uncontrolled cell proliferation. Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant cells exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia. Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias.","hepatocellular carcinoma: A malignant tumor that arises from hepatocytes. Hepatocellular carcinoma is relatively rare in the United States but very common in all African countries south of the Sahara and in Southeast Asia. Most cases are seen in patients over the age of 50 years, but this tumor can also occur in younger individuals and even in children. Hepatocellular carcinoma is more common in males than females and is associated with hepatitis B, hepatitis C, chronic alcohol abuse and cirrhosis. Serum elevation of alpha-fetoprotein occurs in a large percentage of patients with hepatocellular carcinoma. Grossly, hepatocellular carcinoma may present as a single mass, as multiple nodules, or as diffuse liver involvement. Microscopically, there is a wide range of differentiation from tumor to tumor (well differentiated to poorly differentiated tumors). Hepatocellular carcinomas quickly metastasize to regional lymph nodes and lung. The overall median survival of untreated liver cell carcinoma is about 4 months. The most effective treatment of hepatocellular carcinoma is complete resection of the tumor. Lately, an increasing number of tumors have been treated with liver transplantation.",ENSG00000126746
PEBP1,1,BLOOD,"","","","","",MONDO_0045024,0.325622356011242,EFO_0000304,0.288468959296972,"cancer or benign tumor: Any disorder that features disrupted cell proliferation. Includes hyperplasia, neoplastic syndrome and isolated neoplasm diseases as well as precancerous conditions.",breast adenocarcinoma: A carcinoma that arises from glandular epithelial cells of the breast,ENSG00000089220
UBE2L3,1,BLOOD,"","","","","",EFO_0001444,0.325377108890475,EFO_0004612,0.292143679964355,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,high density lipoprotein cholesterol measurement: The measurement of HDL cholesterol in blood used as a risk indicator for heart disease.,ENSG00000185651
NMD3,1,HEART,"","","","","",EFO_0001444,0.325313240877167,EFO_0004784,0.292952091619941,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"self reported educational attainment: A measure of educational progress reported using a questionnaire based approach, often used as a proxy for cognitive performance as the two are correlated.",ENSG00000169251
MTA2,1,COLON,"","","","","",MONDO_0023370,0.325300378487138,MONDO_0011962,0.271753027287957,neoplastic disease or syndrome: Either an isolated neoplasm or a syndrome with neoplasm as a major feature.,endometrial cancer: Primary or metastatic malignant neoplasm involving the endometrium (mucous membrane that lines the endometrial cavity).,ENSG00000149480
OAS1,1,BAT,"","","","","",EFO_0005741,0.325036776781328,MONDO_0100096,0.318706228223097,"infectious disease: A disorder directly resulting from the presence and activity of a microbial, viral, or parasitic agent. It can be transmitted by direct or indirect contact.",COVID-19: A disease caused by infection with severe acute respiratory syndrome coronavirus 2.,ENSG00000089127
VAT1,1,BAT,"","","","","",EFO_0001444,0.324761579896617,EFO_0004833,0.286301056534011,measurement: A measurement is an information entity that is a recording of the output of a measurement such as produced by an instrument.,"neutrophil count: The number of granulocytes (polymorphonuclear leukocytes) in a specified volume of blood, usually 1 cubic millimeter.",ENSG00000108828
PLD4,1,SPLEEN,"","","","","",EFO_0000540,0.324443690234527,EFO_0000685,0.301297694286882,immune system disease: A disorder resulting from an abnormality in the immune system.,"rheumatoid arthritis: A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures. Etiology is unknown, but autoimmune mechanisms have been implicated.",ENSG00000166428
